name,category_type
React,1
Vue.js,1
Angular,1
Node.js,0
Python,0
Django,0
Flask,0
Ruby on Rails,0
Go ,0
Java,0
C,0
C++,0
C#,0
PHP,0
Laravel,0
Echo,0
Gin,0
Spring,0
Nextjs,1
TypeScript,0
Ruby,0
AWS,3
GCP,3
Azure,3
Swift,2
Objective-C,2
Kotorin,0
Flutter,2
Snowflake,9
Pandas,5
Scala,0
Storybook,1
FastAPI,0
PyTorch,9
Rust,0
Datadog,9
GraphQL,9
Redis,9
Docker,9
Elasticsearch,9
Terraform,3
Perl,0
R,5
Unity,2
Jenkins,6
Express,0
html,1
css,1
Nestjs,0
