name
Web系事業会社
SIer・ソフト開発・システム運用
Nler・インフラ・通信
シンクタンク
コンサルティングファーム
ゲーム
エンターテイメント（音楽・動画）
広告（総合広告・ネット広告）
メディア
商社（専門商社・総合商社）
金融（銀行・証券・保険・カード・リース・FinTech・仮想通貨）
メーカー・製造業
自動車
食品
医薬品
消費財・日用品
不動産
物流
教育
人材
飲食
その他
まだ決まってない
